fid,prow,pcol,grow,gcol,5-12-24_count,5-12-24_sum,5-12-24_mean
"979","24","5","1","1",2961,667.621276855469,0.225471555844468
"980","24","5","1","2",2951,524.085601806641,0.17759593419405
"981","24","5","1","3",2956,514.470825195312,0.17404290432859
"982","24","6","1","1",2955,691.513427734375,0.23401469635681
"983","24","6","1","2",2953,754.190979003906,0.255398231968814
"984","24","6","1","3",2963,601.529296875,0.203013600025312
"985","24","7","1","1",2957,164.745819091797,0.0557138380425421
"986","24","7","1","2",2957,125.579315185547,0.0424684867046151
"987","24","7","1","3",2953,94.9782409667969,0.0321633054408388
"988","24","8","1","1",2956,766.221130371094,0.259208772114714
"989","24","8","1","2",2952,730.984832763672,0.247623588334577
"990","24","8","1","3",2960,608.039703369141,0.205418818705791
"991","24","9","1","1",2956,545.849670410156,0.18465821055824
"992","24","9","1","2",2959,525.154296875,0.177476950616762
"993","24","9","1","3",2954,459.271209716797,0.155474343167501
"994","24","10","1","1",2962,614.751617431641,0.207546123373275
"995","24","10","1","2",2949,592.836059570312,0.201029521726115
"996","24","10","1","3",2958,508.95654296875,0.172061035486393
"997","24","11","1","1",2954,586.966186523438,0.198702161991685
"998","24","11","1","2",2956,488.744537353516,0.165339829957211
"999","24","11","1","3",2960,500.917510986328,0.169228888846732
"1000","24","12","1","1",2959,849.633850097656,0.287135468096538
"1001","24","12","1","2",2957,836.606201171875,0.282923977400025
"1002","24","12","1","3",2950,735.524871826172,0.249330465025821
"1003","24","13","1","1",2955,966.597381591797,0.327105712890625
"1004","24","13","1","2",2954,971.602630615234,0.328910843133119
"1005","24","13","1","3",2960,990.548431396484,0.33464474033665
"1006","24","14","1","1",2957,938.681854248047,0.317443981822133
"1007","24","14","1","2",2961,928.624816894531,0.313618648056242
"1008","24","14","1","3",2951,887.479217529297,0.300738467478582
"1009","25","1","1","1",2959,496.404052734375,0.167760747798031
"1010","25","1","1","2",2953,574.528198242188,0.194557466387466
"1011","25","1","1","3",2958,435.706481933594,0.147297661235157
"1012","25","2","1","1",2953,131.193359375,0.0444271450643413
"1013","25","2","1","2",2961,258.921478271484,0.0874439305205959
"1014","25","2","1","3",2957,407.970245361328,0.137967617639949
"1015","25","3","1","1",2961,564.417572021484,0.190617214461832
"1016","25","3","1","2",2956,557.581451416016,0.188627013334241
"1017","25","3","1","3",2954,810.464660644531,0.274361767313653
"1018","25","4","1","1",2954,332.171508789062,0.112448039535905
"1019","25","4","1","2",2955,398.132171630859,0.134731699367465
"1020","25","4","1","3",2964,472.409454345703,0.159382406999225
"1021","25","5","1","1",2957,275.571746826172,0.0931930154975218
"1022","25","5","1","2",2960,509.229827880859,0.172037104013804
"1023","25","5","1","3",2953,665.944641113281,0.225514609249333
"1024","25","6","1","1",2954,376.870910644531,0.127579861423335
"1025","25","6","1","2",2954,775.499816894531,0.262525327317038
"1026","25","6","1","3",2959,851.751098632812,0.287850996496388
"1027","25","7","1","1",2951,468.700958251953,0.158827840817334
"1028","25","7","1","2",2963,819.718414306641,0.276651506684658
"1029","25","7","1","3",2955,799.599365234375,0.270592001771362
"1030","25","8","1","1",2961,667.281372070312,0.225356761928508
"1031","25","8","1","2",2952,691.312194824219,0.234184347840182
"1032","25","8","1","3",2956,742.880676269531,0.251312813352345
"1033","25","9","1","1",2951,604.601379394531,0.204880169228916
"1034","25","9","1","2",2957,735.151031494141,0.248613808418715
"1035","25","9","1","3",2962,780.968566894531,0.263662581665946
"1036","25","10","1","1",2956,236.288665771484,0.0799352725884589
"1037","25","10","1","2",2959,360.4404296875,0.12181156799172
"1038","25","10","1","3",2951,378.603210449219,0.128296580972287
"1039","25","11","1","1",2952,565.088775634766,0.191425737003647
"1040","25","11","1","2",2954,720.758697509766,0.243994142691187
"1041","25","11","1","3",2961,780.294494628906,0.263523976571735
"1042","25","12","1","1",2953,912.517303466797,0.309013648312495
"1043","25","12","1","2",2963,1024.59048461914,0.345794966121883
"1044","25","12","1","3",2955,1119.56118774414,0.378870114295817
"1045","25","13","1","1",2961,706.586029052734,0.238630877761815
"1046","25","13","1","2",2950,958.668640136719,0.324972420385328
